concept,organization,country,year,area_ha_min,area_ha_max,crown_cover_min,crown_cover_max,height_m_min,height_m_max,width_m_min,width_m_max,definition_snippet
"basic terms, forest/forest land, national, land cover",,Argentina,2003,0.5,,,,,,,,"Minimum area = 0.5 ha, minimum tree crown cover = 10%, minimum tree height = 5 m"
"basic terms, forest/forest land, national, land cover",,Argentina,2007,,,,,7.0,,,,Forest Land Land with tree crown cover of more than 20 percent. The trees should be able to reach a minimum height of 7 meters at maturity in situ. It may consist of closed forest formation where trees of various storey and undergrowth cover a high proportion of the ground
"basic terms, forest/forest land, national, land cover",,Argentina,2007,,,,,3.0,,,,"The National Law 26.331 defines a woodland as a ""natural forestry ecosystem integrated by mature native trees, with different species of plants and animals, associated to the topsoil, subsoil, atmosphere, climate and hydric resources, [...] under a condition of dynamic equilibrium..."". Its regulatio"
"basic terms, forest/forest land, national, land cover",,Australia,1970,,,30.0,,5.0,,,,An area dominated by trees greater than 5m in height with canopy cover of 30% or greater (Specht 1970
"basic terms, forest/forest land, national, land cover",,Australia,1992,,,30.0,,5.0,,,,"An area dominated by trees greater than 5m in height with canopy cover of 30% or greater, …including plantations (NFPS 1992"
"basic terms, forest/forest land, national, land cover",,Australia,2003,0.5,,,,,,,,"Minimum area = 0.5 ha, minimum tree crown cover = 20%, miniumum tree height – 2 m"
"basic terms, forest/forest land, national, land cover",,Australia,2003,,,20.0,,2.0,,,,"An area dominated by trees having usually a single stem, greater than 2m in height with canopy cover of 20% or greater… including plantations. (NFI 2003) Current definition"
"basic terms, forest/forest land, national, land cover",,Australia,2005,,,20.0,,2.0,,,,forest area (defined as land with actual or potential tree cover greater than 20% canopy cover and 2 m in height
"basic terms, forest/forest land, national, land cover",KPl,Australia,,,,20.0,,2.0,,,,"A forest is defined as vegetation that has a height of 2 metres, crown canopy cover of 20% and a minimum forest area of 0.2. ha"
"basic terms, forest/forest land, national, land cover",,Austria,2001,0.05,,,,,,,,Minimum area: 0.05 ha; Minimum width: 10 m; The cultural type registered in the land register is insignificant; minimum crown coverage of 30 % (occular estimation). Schieler and Hauk 2001
"basic terms, forest/forest land, national, land cover",NIR and NFI,Austria,2009,0.05,,30.0,,2.0,,,,"Crown Cover > 30%, tree height >2 m, area > 0.05 ha"
"basic terms, forest/forest land, national, land cover",GFRA,Bahamas,2005,0.5,,,,,,,,"Land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use. ftp://ftp.fao.org/docrep/fao/010/aj009E/aj009E00.pdf"
"basic terms, forest/forest land, national, land cover",Flanders,,,0.5,,,,,,,,"Belgium 2000) - Flanders Forest area included in the forest mapping meets art. 3 of the Forest Decree and is at least 0.5 ha, 25 m wide and has a closure of at least 20%. Shrublands with an area less than 0.5 hectares are not included in the forest mapping, but fall under the rules of the Forest Dec"
"basic terms, forest/forest land, national, land cover",Wallonia,,,0.1,,,,,,,,"Belgium 2006)- Area of land of at least 0.1 ha and with at least 10% covered by a forest canopy (trees must be able to reach a minimum of 5 m).IPRFW, Walloon Permanent Forest Resources Inventory, 1994-2006"
"basic terms, forest/forest land, national, land cover",NIR,Belgium,2009,0.5,,20.0,,,,,,"Crown cover > 20%, tree height > 5, area > 0.5 ha"
"basic terms, forest/forest land, national, land cover",NFI,Belgium,2010,0.1,,10.0,,5.0,,,,"Crown cover > 10%, tree height > 5m, area > 0.1 ha"
"basic terms, forest/forest land, national, land cover",Bosnia – FbiH – RS,,,0.1,,,,,,,,Land covered with forest trees in a group larger than 0.1 hectare
"basic terms, forest/forest land, national, land cover",KP,Brazil,2009,1.0,,30.0,,5.0,,,,"l a forest is defined as an area of land greater than 1 hectare, with more than 30% canopy cover and a minimum tree height of 5 metres"
"basic terms, forest/forest land, national, land cover",KP,Brazil,,0.5,,,,,,,,"Land spanning more than 0.5 ha with tress higher than 5m and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. and see"
"basic terms, forest/forest land, national, land cover",,Bulgaria,2007,0.1,,,,,,,,"For defining forest, in Bulgaria is used the definition in the Forest Act: Forest is area, covered with forest tree species on area not less than 0.1 ha"
"basic terms, forest/forest land, national, land cover",,Bulgaria,2007,0.1,,,,,,,,"Min. Area (ha) = 0.1 Min. Crown Cover (%) = Min. Tree Height (m) = 3 Min. Strip Width (m) = 10 Forest is area, covered with forest tree species on area not less than 0.1 ha. (2007"
"basic terms, forest/forest land, national, land cover",NFI,Bulgaria,2010,0.5,,,,,,,,area > 0.5 ha
"basic terms, forest/forest land, national, land cover",?,Bulgaria,2013,1.0,,,,,,,,"Article 2, paragraph 1 of the Law - ""Forest for the purposes of this Act is land occupied by forest vegetation an area not less than 1 ha."" In practice - any land area greater than 1 ha and a width of not less than 10 m (measured to the width of tree roots). Article 2, paragraph 2 ZGor - ""Forest Fun"
"basic terms, forest/forest land, national, land cover",,Bulgaria,,0.1,,,,,,,,every land covered with forest tree species and having area above 1 dka (0.1ha). The width of the area should be no smaller than 10 m. Forest Research Institute forestin@bulnet.bg
"basic terms, forest/forest land, national, land cover",,Bulgaria,,0.1,,,,,,,,Land covered by trees and shrubs (natural or artificially planted). The minimum area is 0.1 ha
"basic terms, forest/forest land, national, land cover",? KP,Burkina Faso,2007,0.05,,,,,,,,"Cover = 10%, Area = 0.05 ha; tree height = 2 m"
"basic terms, forest/forest land, national, land cover",KP,Cambodia,2007,0.5,,10.0,,,,,,"In January 2007, the RGC defined the forest as follows: ■ Tree cover: the area with the forest cover of 10 per cent and above ■ Minimum land areas: 0.5 ha and above ■ Tree height: 5m and above"
"basic terms, forest/forest land, national, land cover",,Cameroon,,,,,,5.0,,,,"Evergreen or moist deciduous forest zones, dominated by trees of at least 5 m high and with a forest-cover proportion of 30% or more"
"basic terms, forest/forest land, national, land cover",,Canada,2003,0.5,,,,,,,,"Minimum area = 0.5 ha, minimum tree crown cover = 20%, minimum tree height = 5 m"
"basic terms, forest/forest land, national, land cover",,Canada,,1.0,,25.0,,,,,,"A vegetation type dominated by trees. Many definitions of the term forest are used throughout the world. For reporting on managed forest carbon stock changes, Canada uses the definitions of 1 ha minimum area, 25% canopy cover of trees that have the potential to reach 5 m height at maturity"
"basic terms, forest/forest land, national, land cover",,Cayman Islands,2009,,,,,4.5,,,,"Forest and woodland defined as a class of vegetation characterized by a closed tree canopy, with interlocking crowns generally providing 60-100% cover. “Woodland”, by comparison, is characterized by an open canopy, with tree crowns constituting just 25-60% cover. The canopy height of forest and wood"
"basic terms, forest/forest land, national, land cover",,Chile,1979,,,,,,,40.0,,"“a piece of land with vegetable formations in which trees predominate and that extend for at least 5,000m2, with a minimum width of 40m, with a tree top greater than 10% in arid and semiarid areas, or greater than 25% in more favourable conditions”"
"basic terms, forest/forest land, national, land cover",,Chile,2003,0.5,,,,,,,,"Minimum area = 0.5 ha, minimum tree crown cover = 25%, minimum tree height = 2 m"
"basic terms, forest/forest land, national, land cover",,Chile,2008,,,,,,,40.0,,"Bosque: sitio poblado con formaciones vegetales en las que predominan árboles y que ocupa una superficie de por lo menos 5.000 metros cuadrados, con un ancho mínimo de 40 metros, con cobertura de copa arbórea que supere el 10% de dicha superficie total en condiciones áridas y semiáridas y el 25% en "
"basic terms, forest/forest land, national, land cover",KP,Chile,,0.5,,25.0,,5.0,,,,The Chilean Designated National Authority (CONAMA) adopted the below definition as the forest thresholds for afforestation and reforestation Clean Development Mechanism project activities: - A single minimum tree crown cover of 25 % - A single minimum plantation area of 0.5 hectare - A single minimu
"basic terms, forest/forest land, national, land cover",,China,2000,0.067,,,,,,,,"Min. area = 0.067 ha, Min. Crown Cover = 20 %, Min. Height = 5 m, Min. Strip Width = 10. Includes bamboo and trees. Updated by Zhang Xiaoquan – (23 Jan 02). Trees > 2 cm dia"
"basic terms, forest/forest land, national, land cover",,China,2003,0.0667,,,,,,,,Forest land of arbour species spanning more than 0.0667 ha with a crown cover of more than 20%
"basic terms, forest/forest land, national, land cover",,China,2003,0.5,,,,,,,,"Minimum area = 0.5 ha, minimum tree crown cover = 20%, minimum tree height = 2 m"
"basic terms, forest/forest land, national, land cover",,China,2006,,,30.0,,,,,,"The definition of forest in China was adjusted from a minimum of 30 percent to 20 percent of cover in 1994. In 2004, the definition of forest was modified again to include special purpose scrubs, which grow in area with annual rainfall below 400 mm or above; the tree line in a mountain with a minimu"
"basic terms, forest/forest land, national, land cover",,China,,0.2,,,,,,,,Area with forest cover equal to or greater than 0.2 ha. Yongqi Zheng Chinese Academy of Forestry. Zhengyq@rif.forestry.ac.cn
"basic terms, forest/forest land, national, land cover",", Republic of",Congo,2014,50.0,,,,,,,,"Dans le cadre du NERF de la République du Congo, la définition à prendre en compte est celle qui a été officiellement adoptée en Mars 2014 (rapport d’atelier sur la définition forêt, CN-REDD 2014b).Cette définition précise que « la forêt est un espace couvrant sur une superficie minimale de 0,5 hect"
"basic terms, forest/forest land, national, land cover",,Costa Rica,2012,1.0,,30.0,,5.0,,,,"The definition submitted to the CDM (minimum canopy cover of 30%, minimum height of 5 meters, minimum size of 1 hectare) is used as a preliminary definition for its REDD+ program, but Costa Rica has also reserved the right to change the definition and revise its reference level once a final decision"
"basic terms, forest/forest land, national, land cover",,Costa Rica,2014,1.0,,30.0,,5.0,,,,"According to Costa Rica’s Emissions Reduction Project Idea Note (ER-PIN) for design purposes of the National Forest Inventory and the MRV for REDD+, Costa Rica has used the definition of forest that it uses for CDM projects: “Forest is an area of land with a minimum size of 1.0 ha, with a canopy cov"
"basic terms, forest/forest land, national, land cover",KP,Croatia,,0.1,,,,,,,,"forest is land spanning more than 0.1 hectares with trees higher than 2 meters and canopy cover more than 10 percent, or trees able to reach these thresholds in situ"
"basic terms, forest/forest land, national, land cover",,Croatia,,0.1,,,,,,,,Forest is defined by Croatian Forest law as land with tree cover occupying areas greater than 0.1 ha
"basic terms, forest/forest land, national, land cover",,Cyprus,1992,1.0,,,,,,,,"An area of at least 1 ha covered with forest tree vegetation and crown cover more than 10 percent. A.K. Christou ""Forestry Department - Research and Publicity Sector"" publicity@cytanet.com.cy. Cyprus (open woodland) Forest area with only few trees per ha (that is crown cover about 1-2 percent) (UN/E"
"basic terms, forest/forest land, national, land cover",,Cyprus,2002,1.0,,,,,,,,"Old definition: Forest Land with tree crown cover of more that 10 % and area of more than 1 ha. Cyprus Department of forests ministry of agriculture, natural resources and environment, 2006. Kyriacou K. 2002"
"basic terms, forest/forest land, national, land cover",,Cyprus,2006,1.0,,,,,,,,"It corresponds to FRA definition except the threshold value for minimum area, which is 1 ha, with trees higher than 5 m and a crown cover of more than 10%, or trees able to reach these thresholds in situ. Land predominantly under agricultural or urban use not included. Cyprus Department of forests m"
"basic terms, forest/forest land, national, land cover",,Cyprus,,0.5,,,,,,,,"Spanning more than 0.5 ha with trees higher than 5 m and a crown cover of more than 10%, or trees able to reach these thresholds in situ, Land predominantly under agricultural or urban use not included"
"basic terms, forest/forest land, national, land cover",Czech Republic,,2004,0.01,,,,,,20.0,,"Forest land: land with forest stands and land after cutting ready for reforestation, forest line and soft roads of width less than 4 m. Forest roads, water surfaces, land above timber line and other land serving for forest management. Minimum area is 0.01 ha and with a minimum width of 20 m. NIL def"
"basic terms, forest/forest land, national, land cover",Czech Republic  NIR,,2009,0.05,,,,2.0,,,,"Tree height > 2m, area > 0.05 ha"
"basic terms, forest/forest land, national, land cover",Czech Republic,,,,,20.0,,,,,,"National definition, threshold value 20 % crown cover, 400 sq. m. area, minimum height limit, no comparable data available"
"basic terms, forest/forest land, national, land cover",NIR,Denmark,2009,0.5,,10.0,,5.0,,10.0,,"Crown cover > 10%, tree height > 5m, area > 0.5 ha, width > 10 m"
"basic terms, forest/forest land, national, land cover",NFI,Denmark,2010,0.5,,10.0,,5.0,,,,"Crown cover > 10%, tree height > 5m, area > 0.5 ha"
"basic terms, forest/forest land, national, land cover",,Denmark,,3.0,,,,,,,,Forest means areas of 3 ha or more with woody plants which may on the site of growth develop into tall standard (above 6 m). Woody plants also include many-stemmed mountain pine. www.mst.dk/rules/Ministerial%20Orders%20no%20longer%20in%20force/Chemicals%20not%20in%20force/05030500.doc
"basic terms, forest/forest land, national, land cover",,Ecuador,2013,1.0,,,,,,,,"A national forest definition was adopted () in the context of identifying forest land in Ecuador’s land-use maps. According to this definition all land units bearing “a single minimum tree crown cover value of 30%; a single minimum land area value of 1.00 hectare; and, a single minimum tree height v"
"basic terms, forest/forest land, national, land cover",,Eritrea,2000,,,10.0,,,,,,Forest and woodland 10 % canopy closure. Source: ECE-FAO Partnership Programme: Kenya Workshop on Forestry Statistics. Appendix 6 and
"basic terms, forest/forest land, national, land cover",,Estonia,1998,0.5,,,,,,,,Forest [mets] - growing site of ligneous plants which area is at least 0.5 ha and which corresponds to the following conditions: 1) height of growing trees is at least 1.3 m and density of crowns is at least 30%; 2) it is managed for timber and other forest products or there are ligneous plants pres
"basic terms, forest/forest land, national, land cover",,Estonia,1998,5.0,,30.0,,,,,,"Forest Act (FA) (1998) forest is defined as a site of woody vegetation with an area of at least 0,5 ha which meets at least one of the following criteria: 1) the height of the trees is at least 1,3 m and the canopy density at least 30 per cent; 2) it is managed for obtaining timber or other forest p"
"basic terms, forest/forest land, national, land cover",,Estonia,2007,0.1,,,,,,,,"According to the act, forest land is land listed in the land register as forest and or land of at least 0.1 hectares where woody plants with a height of at least 1.3 m and with crown closure of at least 30% grow (Forest Act, 2007"
"basic terms, forest/forest land, national, land cover",NIR,Estonia,2009,0.5,,30.0,,2.0,,,,"Crown cover > 30%, tree height > 2m, area > 0.5 ha"
"basic terms, forest/forest land, national, land cover",NFI,Estonia,2010,,,30.0,,,,,,Crown cover > 30%
"basic terms, forest/forest land, national, land cover",,Estonia,2010,0.5,,,,5.0,,,,"Forest land (reference definition, applied parallel with National definition since 2005) Land with tree crown cover (or equivalent stocking level) of more than 10% and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ (incl. temporarily unstocked"
"basic terms, forest/forest land, national, land cover",KP,Estonia,,0.1,,,,,,,,A plot of land with an area of at least 0.1ha and woody plants with the height of at least 1.3m and with the canopy density of at least 30 percent grow there
"basic terms, forest/forest land, national, land cover",,Estonia,,0.5,,,,,,,,forest land with vegetation growing on it and with wildlife living in it. The lower area limit is 0.5 ha
"basic terms, forest/forest land, national, land cover",,Ethiopia,1998,,,68.0,,7.0,,,,Natural high forest. Min. av. height 7 m. Canopy closure 68%. Source: ECE-FAO Partnership Programme: Kenya Workshop on Forestry Statistics. Appendix 6
"basic terms, forest/forest land, national, land cover",,Ethiopia,2015,0.5,,,,,,,,"In February 2015 Ethiopia adopted a new forest definition as follows: 'Land spanning at least 0.5 ha covered by trees and bamboo ), attaining a height of at least 2m and a canopy cover of at least 20% or trees with the potential to reach these thresholds in situ in due course’ (Minutes of Forest sec"
"basic terms, forest/forest land, national, land cover",,Ethiopia,2017,0.5,,,,,,20.0,,In February 2015 Ethiopia adopted a new forest definition (MEF 2015) as follows: 'Land spanning more than 0.5 ha covered by trees (including bamboo) (with a minimum width of 20m or not more than two‐thirds of its length) attaining a height of more than 2m and a canopy cover of more than 20% or trees
"basic terms, forest/forest land, national, land cover",KP,Ethiopia,,0.05,,20.0,,2.0,,,,"The Ethiopian Designate National Authority for CDM, EPA, has communicated to the UNFCCC CDM Executive Board the definition of forest used for CDM projects in Ethiopia, which is as follows: •A minimum area of 0.05 hectares; •A minimum tree crown cover of 20 per cent; •A minimum average tree height ab"
"basic terms, forest/forest land, national, land cover",KP,Ethiopia,,0.05,,20.0,,2.0,,,,"The Ethiopian DNA has determined that within Ethiopia, a forest is defined as land with trees that has: A minimum area of 0.05 hectares; A minimum tree crown cover of 20 per cent; A minimum average tree height above 2 m"
"basic terms, forest/forest land, national, land cover",,Fiji,1992,4.0,,,,,,,,"In the National Forest Inventory (1991-1992) on a scale of 1:50,000 the minimum forested area shows on the map is 4 ha. There is no legal definition of what a forest is, although it is classified into three: Dense forest - Crown density by trees and/or ferns 75-100% and grown coverage of grass, palm"
"basic terms, forest/forest land, national, land cover",,Fiji,2007,4.0,,,,,,,,The re-defined threshold for forest is from 4 hectares in the 1991 NFI down to 0.5 hectares in the 2007 NFI
"basic terms, forest/forest land, national, land cover",NIR,Finland,2009,0.5,,10.0,,5.0,,20.0,,"Crown cover > 10%, tree height > 5m, > area > 0.5 ha, width > 20 m"
"basic terms, forest/forest land, national, land cover",,France,1992,4.0,,,,,,,,Forest greater than or equal to 4 ha. (UN/ECE 1992 p. 156
"basic terms, forest/forest land, national, land cover",,France,1997,0.5,,,,,,,,"Identified from aerial photos, from ocular estimates. Lands with either measured trees (diameter 7.5 cm) have a crown cover percentage reaching at least 10% (ground projection of crowns) - or there are more than 500 stems per ha that are viable trees (able to make a stand): seedlings, plants or shoo"
"basic terms, forest/forest land, national, land cover",,France,2005,0.05,,10.0,,,,,,"According to the national forest definition the minimum forest area is 0.05 ha, with the canopy cover of 10% , minimum height of tree 5-7 m and the minimum width of strip 25 m.(FRA,2005"
"basic terms, forest/forest land, national, land cover",NIR,France,2009,0.5,,10.0,,5.0,,20.0,,"Crown cover > 10%, tree height > 5m, area > 0.5 ha, width > 20 m"
"basic terms, forest/forest land, national, land cover",NFI,France,2010,0.5,,10.0,,,,15.0,,"Crown cover > 10%, area > 0.5 ha, width > 15 m"
"basic terms, forest/forest land, national, land cover",,France,2010,0.5,,,,5.0,,,,"A forest is defined as land with tree crown cover of more than 10%, an area of more than 0.5 ha and an average width of more than 20 m. Trees should be able to reach a minimum height of 5 m at maturity in situ.Institute National de l’Information Geographique et Forestiere, 2010"
"basic terms, forest/forest land, national, land cover",,Gambia,,,,10.0,,,,,,"A land area with at least 10% tree cover, naturally grown or planted, and or 50% or more shrub and tree generation cover and includes government forest parks, community forests and protected forests irrespective of their tree and shrub cover;..... Source: Danso A. A. Forestry Department forestry.dep"
"basic terms, forest/forest land, national, land cover",,Gambia,,,,10.0,,,,,,all lands at leas10 % tree cover and 50% vegetative cover
"basic terms, forest/forest land, national, land cover",,Gambia,1998,,,10.0,,,,,,"""Forest"" means a land area with at least 10% tree cover, naturally grown or planted, and or 50% or more shrub and tree regeneration cover and includes Government forest parks, community forests and protected forests irrespective of their tree and shrub cover; provided that vegetation on fallow land "
"basic terms, forest/forest land, national, land cover",,Georgia,1999,0.1,,,,,,,,"The integrity of state forest, land and other resources defined as SFF by the Georgian legislation (Forest Code of Georgia, 1999). Includes the land categories listed below: Forest: Part of geographic landscape, which includes the unity of trees (defined by the Georgian legislation as parts of fores"
"basic terms, forest/forest land, national, land cover",,Georgia,2010,0.5,,,,5.0,,,,"A forest is defined as land with tree crown cover of more than 10%, an area of more than 0.5 ha and an average width of more than 20 m. Trees should be able to reach a minimum height of 5 m at maturity in situ. FAO, 2010"
"basic terms, forest/forest land, national, land cover",KP,Ghana,2009,0.1,,15.0,,2.0,,,,"defines a forest as an area of land greater than 0.1 hectare, with more than 15% canopy cover and a minimum tree height of 2 metres"
"basic terms, forest/forest land, national, land cover",?,Ghana,2006,0.1,,,,,,,,Canopy = 15%; Area = 0.1 ha; Tree height = 5 m
"basic terms, forest/forest land, national, land cover",,Greece,2000,0.5,,,,5.0,,,,"FRA 2000. Land with tree crown cover (or equivalent stocking level) of more than 10%and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 meters (m) at maturity in situ. FOREST EUROPE, UNECE AND FAO, 2011"
"basic terms, forest/forest land, national, land cover",,Greece,2002,0.5,,10.0,,,,,,Greece’s national definition of forest (an area of at least 0.5 ha or a strip of land 30 m wide with at least 10% tree coverage and forest type vegetation
"basic terms, forest/forest land, national, land cover",,Greece,2003,,,25.0,,,,,,"Forest is defined as an area made up of wild trees species creating a canopy with a crown density >25%. Forestland is defined as an area made up of wild woody vegetation (scattered trees, shrubs, or open land within forests and open land above tree line) with > 25% vegetation. There is a controversy"
"basic terms, forest/forest land, national, land cover",KP,Greece,2006,0.3,,,,,,,,"Greece has identified the following single minimum values for tree crown cover, land area and tree height for use in accounting for its activities under Article 3, paragraphs 3 and 4 of the Kyoto Protocol: Tree crown cover: 25%; Land area: 0.3 Ha; Tree height: 2 m. Hellenic Ministry for the Environm"
"basic terms, forest/forest land, national, land cover",,Greece,2006,3.0,,,,,,,,"Specifically in order for a patch to be characterized as “forest” or “woodland”, its size should exceed 0,3 hectares or unless so, it should be at least 30 meters wide or in close interdependence and interaction with other forest areas. Furthermore the forest canopy cover should exceed 30 percent. T"
"basic terms, forest/forest land, national, land cover",NIR and NFI,Greece,2009,0.5,,10.0,,,,30.0,,"Crown cover > 10%, area > 0.5 ha, width > 30 m"
"basic terms, forest/forest land, national, land cover",,Greece,2011,0.5,,,,5.0,,,,"Land with tree crown cover (or equivalent stocking level) of more than 10%and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 meters (m) at maturity in situ. FOREST EUROPE, UNECE AND FAO, 2011"
"basic terms, forest/forest land, national, land cover",,Greece,,,,,,7.0,,,,"Forest is defined as land with tree crown cover (stand density) of more than about 20% of the area, and with trees which usually grow to more than about 7 m in height and are able to produce wood. This includes both, closed forest formations where trees of various storeys and undergrowth cover a hig"
"basic terms, forest/forest land, national, land cover",,Guatemala,1996,2.0,,,,,,,,"Native or autochthon ecosystem, intervened or not, regenerated through natural succession or other forestry mechanisms, that does occupy an area greater than 2 ha, characterized by the presence of mature trees of different ages, species and appearance, with one or more layers. ""Ecosistema en donde l"
"basic terms, forest/forest land, national, land cover",Guatemla - ?,,2007,0.5,,,,,,,,Cover = 30%; Area = 0.5 ha; Tree height = 5 m
"basic terms, forest/forest land, national, land cover",,Guyana,2009,,,10.0,,,,,,"Forest means an ecosystem dominated by woody plants, consisting of closed forest formations, where trees of various stories sand undergrowth cover a high proportion of the ground; or open forest with continuous vegetation cover in which tree crown cover exceeds 10 percent and includes mangrove fores"
"basic terms, forest/forest land, national, land cover",KP,Guyana,2011,1.0,,,,5.0,,,,"In accordance with the Marrakech Accords, Guyana has elected to classify land as forest if it meets the following criteria: Tree cover of minimum 30% At a minimum height of 5 m Over a minimum area of 1 ha"
"basic terms, forest/forest land, national, land cover",,Guyana,2015,1.0,,,,5.0,,,,"Guyana has elected to classify land as forest if it meets the following criteria: • Tree cover of minimum 30% • Minimum height of 5 m • Minimum area of 1 ha. .It was recommended that based on Guyana’s forest characteristics, where there is largely undisturbed primary forest and the remaining being s"
"basic terms, forest/forest land, national, land cover",,Hungary,2006,0.5,,,,,,,,"Forest land (1000 ha) - With defined tree species, minimum block size 0.5 ha, -Crown cover min. 50% (30% if protection function). Area: all forest where the forest block is at least 0.5 ha (all area which has “forest” cadastral status, plus all area where forest is found) Definition: Forest should b"
"basic terms, forest/forest land, national, land cover",NRI,Hungary,2009,0.5,,30.0,,5.0,,,,"Crown cover > 30%, tree height > 5m, area > 0.5 ha"
"basic terms, forest/forest land, national, land cover",,Hungary,,15.0,,,,,,,,"By law forest means area covered by woody vegetation with area bigger than 0,15 ha. Other wooded lands not included can be only row of trees, alleys, etc. having no adequate system (ortho-photos, software, etc.) its quantity can be only wrong estimated"
"basic terms, forest/forest land, national, land cover",KP,Iceland,2010,0.5,,,,2.0,,20.0,,"In accordance to the GPG arising from the Kyoto Protocol a country-specific definition of forest has been adopted. The minimal crown cover of forest is 10%, the minimal height 2 m, minimal area 0.5 ha and minimal width 20 m"
"basic terms, forest/forest land, national, land cover",,Iceland,2011,0.5,,10.0,,,,,,"Forest area is a land with a minimum area of 0.5 ha, with a minimum 10% crown cover, and minimum height of trees of 5 m at maturity in situ. FOREST EUROPE, UNECE and FAO 2011"
"basic terms, forest/forest land, national, land cover",,Iceland,2011,,,10.0,,,,,,National definition: areas with trees higher than 2 m and 10% crown cover are defined as forests in Iceland
"basic terms, forest/forest land, national, land cover",,Iceland,,,,,,1.0,2.0,,,"Forest (skogur) - Ecosystems where the dominant organisms are trees. The term includes all organisms, processes and physical components of these ecosystems. Includes scrubland where the dominant ""trees"" (usually the native birch, Betula pubescens) may only reach 1-2 m in height. Source: Latest draft"
"basic terms, forest/forest land, national, land cover",,India,2003,1.0,,,,,,,,"The 2003 forest cover analysis by the Forest Survey of India using satellite data, including forests of a defined area of more than 1 ha and 10% of tree canopy cover"
"basic terms, forest/forest land, national, land cover",,India,2017,,,10.0,,,,,,"Forest cover- any area more than one hectare in size that has more than 10% green canopy. Apart from traditional or natural forests that meet the criteria, this definition also includes plantations like tea and coffee gardens as well as orchards. The report classifies forest cover into three categor"
"basic terms, forest/forest land, national, land cover",,India,,1.0,,10.0,,,,,,"Forest Cover is defined as an area more than 1 ha in extent and having tree canopy density of 10 percent and above. This definition is based on the resolution of digital satellite data (pixel size 23.5m X 23.5m), scale of interpretation (1:50,000) and the technique used for image processing"
"basic terms, forest/forest land, national, land cover",KP,Indonesia,,1.0,,100.0,,,,,,Forest area: 0.05 to 1 ha (Indonesia decided on 0.25 ha) Potential to reach a minimum height at maturity in situ of 2-5 m (Indonesia decided on 5 m). Tree crown cover (or equivalent stocking level): 10 to 30 % (Indonesia decided on >30%) Under this definition a forest can contain anything from 10% t
"basic terms, forest/forest land, national, land cover",KP,Indonesia,,0.25,,30.0,,,,,,"The values for the definition of forest have also been given as, minimum land area of 0.25 ha; 30% crown cover and 5m tree height. and"
"basic terms, forest/forest land, national, land cover",,Indonesia,2004,0.25,,,,,,,,"As a formal right, forest in this document is defined as “Land spanning more than 0.25 hectares with trees higher than 5 meters at maturity and a canopy cover of more than 30 percent, or trees able to reach these thresholds in situ”. This is the definition of forest stated in the Minister of Forestr"
"basic terms, forest/forest land, national, land cover",,Indonesia,2015,6.25,,,,,,,,"In this document, the term “working definition” of forest was used to produce land-cover maps through visual interpretation of satellite images in a scale that minimum area for polygon delineation is 0.25 cm2 at 1: 50,000 of scale which equals to 6.25 ha"
"basic terms, forest/forest land, national, land cover",,Ireland,2002,0.5,,50.0,,,,40.0,,"There are no legal definitions for the terms forest and forestry in Ireland. A practical definition for forest is an area of at least 0.5 ha (sometimes, in the case of broadleaves, 0.2 ha) with a minimum width of 40 m over no more than two-thirds of its length, with at least 50% canopy cover by tree"
"basic terms, forest/forest land, national, land cover",KP,Ireland,2006,,,20.0,,5.0,,,,Use Min. Area (ha) = 0.1 Min. Crown Cover (%) = 20 Min. Tree Height (m) = 5 Min. Strip Width (m) = ns . (2006).Young natural stands and all plantations that have yet to reach a crown density of 20 percent or a tree height of 5 metres are included under forest. Areas normally forming part of the fore
"basic terms, forest/forest land, national, land cover",NIR and NFI,Ireland,2009,0.1,,20.0,,5.0,,20.0,,"Crown cover > 20%, tree height > 5m, area > 0.1 ha, width > 20 m"
"basic terms, forest/forest land, national, land cover",,Ireland,2010,0.5,,,,,,,,To define area as a forest it has to pass these minimum requirements: - tree crown cover: 10%- land area: 0.5 ha - tree height: 2 m. Further IFI has added practical requirements that are in accordance to international definitions: - minimum width of forest: 20 m - maximum permanent gap in forest. 0.
"basic terms, forest/forest land, national, land cover",,Israel,,,,10.0,,,,,,Forest: A vegetation formation in which trees have more than 10% crown cover. From: GilS@kkl.org.il
"basic terms, forest/forest land, national, land cover",,Italy,1988,2.0,,,,,,,,"A wooded land with an area =0,2 Ha; with a canopy width =20m; with a cover closure =20% MAF, Ministero dell'Agricoltura e delle Foreste (1988). Inventario Forestale Nazionale 1985. Istituto Sperimentale per l'Assessamento forestale e per l'Alpicoltura. 2 vols. Rome. Lorenzo Ciccarese ciccarese@anpa."
"basic terms, forest/forest land, national, land cover",,Italy,2007,,,,,,,20.0,,"National definition: forest is a land covered by trees more than 2000 m2, 20% of canopy, with a minimun width of 20 m. Ministero Delle Politiche Agricole, Alimentari e Forestali Corpo Forestale Dello Stato. CRA (Istituto Sperimentale per l’Assestamento Forestale e per l’Alpicoltura), 2007"
