title_1,title_2,title_3,title_4,bold_terms,sources,urls,references,definition,organization,country,year
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.botany.uwc.ac.za/envfacts/facts/deforestation.htm,,"In a forest the crowns of individual trees touch to form a single canopy. In a woodland, trees grow far apart, so that the canopy is open",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.globaled.org/issues/152/a.html,,"In a forest, the treetops touch each other to form a canopy, Woodlands, trees are spaced further apart",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.wildlifetrust.org.uk/suffolk/redgrave/glossary.htm,,"In England this means a wood with no coppiced trees, often conifer Plantations. Traditionally meant a hunting ground or 'chase' Nature Conservation Glossary",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,"usually, at least 10 percent of the area is covered by trees",http://www.aces.edu/waterquality/glossary/glossary_results.php3?rowid=2008; http://www.rmrs.nau.edu/publications/rm_gtr_295/glossary.html,,"In general, an area or biotic community dominated by trees of any size . If distinction is made to woodlands, forests are composed of taller, more closely-spaced trees. and","usually, at least 10 percent of the area is covered by trees",,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.arcticatlas.org/glossary/index,,"In the Preliminary Classification for Alaskan Vegetation, vegetation with at least a 10% crown cover by trees; i.e., single stemmed woody plants at least 5 m in height at maturity",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.biology-online.org/dictionary/Forest,,"In the United States, a wood of native growth, or a tract of woodland which has never been cultivated",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,"which, along with rainforest, form 'closed forest'",http://www.wilderness.org.au/projects/Forests/forbkgnd.html,,"Includes mangroves , and forest-forming mallees (which, along with schlerophyll forest, form 'open forest'","which, along with rainforest, form 'closed forest'",,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,"'hard-leaved' trees, mainly forests dominated by eucalypts, but also species like acacias and melaleucas",http://www.wilderness.org.au/projects/Forests/forbkgnd.html,,"Includes sclerophyll forest which has a canopy cover greater than 50%, and all rainforest","'hard-leaved' trees, mainly forests dominated by eucalypts, but also species like acacias and melaleucas",,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,"this is the definition now adopted by the Commonwealth Government - see NFI 1998, pp.10-11",http://www.wilderness.org.au/projects/Forests/forbkgnd.html,,Includes woodlands and woodland-forming mallees,"this is the definition now adopted by the Commonwealth Government - see NFI , pp.10-11",,1998
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://library.advanced.org/17456/main1.html,,"Interconnected communities of diverse organisms -- bacteria and fungi, gigantic trees, birds, shrubs, ants and beetles, fish, and mammals",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,ou mieux la projection de leurs cimes sur le sol,,,"La forêt est un formation végétale dans laquelle les arbres prédominent au point de modifier les conditions écologiques régnant au sol. Elle est dite dense ou fermée si les arbres sont jointifs ou occupent plus des 2/3 de la surface, claire et ouverte si les arbres couvrent de 2/3 à 1/4 de la surface. Les autres formations sont par définition exclues des forêts. l'Encyclopédia Universalis. Sandrine PETIT",ou mieux la projection de leurs cimes sur le sol,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.pbs.org/earthonedge/ecosystems/forests1.html,,"Land areas ""dominated by trees where the tree canopy covers at least 10% of the ground area",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.wvgazette.com/static/series/mining/reports/EIS/VIII.Glossary.pdf,,"Land bearing a stand of trees of any stature, including seedlings, and of species attaining a minimum of 6 feet average height at maturity or land from which such a stand has been removed but on which no other use has been substituted. The term is commonly limited to land not in farms; forests on farms are commonly called woodland or farm forest",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.uncg.edu/bio/ConBio105/info/glossary2.htm,,Land bearing forest growth,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,2 500 - 3 500 m,http://www.usangu.org/reports/landres.pdf,,"Land covered by a closed stand of trees of one or more storeys, with an interlaced upper canopy, rising to 7 - 40 m or more in height. The ground cover is dominated by herbs and shrubs, and lianes and epiphytes are characteristic. Dwarf forests are as defined but rise to less than 7 m in height. Sub-types are sub-alpine dwarf forest ; lowland forest (<1 000 m); and groundwater forest",2 500 - 3 500 m,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://ag.arizona.edu/arec/pubs/rmg/2._Rangeland_Management_/4Terms.pdf; http://www.agroselviter.unito.it/range/docs/4Terms.pdf; http://ag.arizona.edu/AREC/pubs/rmg/2._Rangeland_Management_/4Terms.pdf,,Land on which the vegetation is dominated by trees. Lands shall be classified forestland if the trees now present will provide 25% or greater canopy cover at maturity. RANGELAND TERMINOLOGY and and,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://dictionary.kids.net.au/word/forest; http://www.scrabblefinder.com/word/forest/,,Land that is covered with trees and shrubs and,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://src.doc.ic.ac.uk/packages/Project-Gutenberg/etext99/world97.txt,,Land under dense stands of trees. Paraphrased from,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://rmmcweb.cr.usgs.gov/public/mrgb/mrgblulcdefs.html#vg4.11,,Land where trees form at least 25% of the canopy cover,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,or equivalent stocking level,http://www.cei-bois.org/files/FINAL_-_BoA_-_EN_-_2011_text_and_cover.pdf,,Land with tree crown cover of more than 10% and area of more than 0.5 ha. The trees should be able to reach a minimum height of at least 5m at maturity in situ,or equivalent stocking level,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,stand density,http://books.google.com/books?id=zeTU8QauENcC&pg=PA192&lpg=PA192&dq=Germany+Forest+definition+define+%22forest+is%22+law+act+code&source=bl&ots=1jUsKaLHy4&sig=uRBHD83hyloLheFqPmfiDgK687o&hl=en&sa=X&ei=OcY-T7PEOcX10gHzx8jzBw&ved=0CDgQ6AEwAw#v=onepage&q=Germany%20Forest%20definition%20define%20%22forest%20is%22%20law%20act%20code&f=false,,Land with tree crown cover of more than about 20% of the area. Continuous forest with trees usually growing to more than 7 m in height and able to produce wood. This includes both closed forest formations where trees of various layers and undergrowth cover a high proportion of the ground and open forest formation with a continuous grass layer in which tree synusia cover at least 10 % of the ground.(1993,stand density,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://scholar.lib.vt.edu/theses/available/etd-61998-142359/unrestricted/part2_b.pdf,,Lands classified as “forest” are dominated by woody vegetation over 3 m tall. Tree basal area must be greater than 10 % of a pixel,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.geodan.nl/ec_lu/public/index.htm,,Lands dominated by trees and shrubs. Pan-European Land Use and Land Cover Monitoring,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.nrdc.org/sitings/fslook.html; http://www.nrdc.org/sitings/lookup/teraa.html; http://www.nrdc.org/reference/glossary/f.asp,,"Lands on which trees are the principal plant life, usually conducive to wide biodiversity. Natural Resources Defense Council. Environment Terms, and",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.panda.org/resources/factsheets/forests/frame.htm?31defor.htm; http://abe.msstate.edu/csd-tc/p3-g2/intro.htm,,"Lands where the crowns of individual trees touch to form a single canopy. In a woodland, trees grow far apart, so that the canopy is open. and",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,Maini 1991,http://www.forestry.utoronto.ca/ac_staff/emeritus/My%20Webs/english.htm,,Landscape dominated by trees and other woody vegetation with a canopy cover of 20% or more,Maini,,1991
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,,,Large area covered with trees. World Book Encyclopedia 1998,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.newberry.org/k12maps/glossary/index.html,,Large area of land that is covered by trees and undergrowth,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://crossword911.com/forest.html,,Large area of trees and undergrowth,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.esd.ornl.gov/projects/qen/adams3.html,,"Leaf cover above a level 8m off ground, >60%",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,,,"More than 50% trees. Source: Amreican Forests via Fleishman, Sandra. 2003. Why were the trees cut down? The Washington Post. Section F1,8-9. 28 June",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.rsgis.msu.edu/pdf/lclu/MIRIS_2_definitions.pdf,,"Natural areas dominated by tree cover that is generally over 6 meters, or 20 feet, in height",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,2009,http://www.redd-monitor.org/wordpress/wp-content/uploads/2009/09/2009-Putz-Conservation-Letters-on-REDD.pdf,,"Natural forest be differentiated from plantations and that for defining “forest” the lower height limit defining “trees” be set at more than 5 m tall with the minimum cover of trees be set at more than 40%. Sasak, Nophea; Putz, Francis E. 2009. Critical need for new definitions of “forest” and “forest degradation” in global climate change agreements. Conservation Letters xx 1–7",,,2009
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,,,"On désigne sous le nom de forêts les espaces couverts d'arbres c'est-à-dire de cette catégorie de végétaux que distinguent tout d'abord, la nature solide de leur tige, leurs énormes proportions et la longue durée de leur existence. [LE PLAY, 1847 ; p57]. Sandrine PETIT",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.Colorado.Edu/INSTAAR/TEAML/atlas/chapters/definitions.html#Forest; http://www.arcticatlas.org/glossary/index,,"Plant community predominately of trees and other woody plants, growing more or less closely together. and",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.fsc-uk.demon.co.uk/Appendices.html,,Predominately tree covered land in large tracts - Paraphrased from,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,1996,,,"Scholes & Hall define them as having complete tree canopy cover and three or more overlapping vegetation strata. The ground layer is NOT dominated by grasses but by other non-gramineceous herbs and shrubs. There are also open and closed forests, moist/rain and dry forests",,,1996
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,1996,,,"Scholes & Hall use 50-100% tree canopy cover, and a graminaceous layer. There are also various types of woodlands",,,1996
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,anexo III.6,,,"Selvas - Constituye parte de la categoria “Formacion . Vegetacion preominanatementearborea en climas calido-humedos a calido-subhumedos. Se caracterizan por tener especies dominates arboraas de afinidad tropical. Incluye dos tipos de vegetaction: Selve perennifoia y subperennifolia y Selva caducifolia y subcaducifolia. A su vez abarca a ocho comunidades: Selva alta y mediana perennifoila, Selva baja perennikfolia, Selva alta y mediana subpoerennifolia, Selva baja subperennifolia, Selva mediana caducifolia y subcaducifolia, Sel va baha caducifolia y subcaducifolia, Matrorral subtropical y sel va espinosav (UNAM 2000",anexo III.6,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,UNAM 2000,,,Selvas - Vegetacion predominantemente arborea en climas calido-humedos a calido-subhumedos. Se caracterizan por tener especies arboreas de afinidad tropical,UNAM,,2000
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://dictionary.reverso.net/english-definition/forest%20reserve,,Something resembling a large wooded area.esp. in density,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,Maser 1991,,,"That portion of the ecosystem characterized by tree cover; more particularly, a plant community predominately of trees and other woody vegetation growing close together",Maser,,1991
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://dictionary.kids.net.au/word/forest; http://www.scrabblefinder.com/word/forest/,,The trees and other plants in a large densely wooded area and,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://www.wordsmyth.net/cgi-bin/simplesearch.cgi?matchent=forest&matchtype=exact&matchid=-1&retall=1,,The trees themselves,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,forest plantation,http://ewg.gecp.virginia.edu/ewg_forest_us/general/glossary.htm,,"This category includes productive forest land and open woodland with naturally and artificially grown forest , and shrubs. Minimum volume density is the main characteristic of these lands, it should be 0.4 and higher for young forest and shrubs, and 0.3 and higher - in all other stands. Minimum Mapping Unit of 0.5 ha",forest plantation,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://hermes.richmond.edu/urbanforests/glossary.html,,"Traditional forest - large, densely wooded areas that are found in remote areas with few people",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,"LCCS >15% tree cover, tree height >3m ",,,"Tree Cover, broadleaved, evergreen www.gvm.sai.jrc.it/glc2000/march2002/GLC2000-LCCS_global-legend280502.doc","LCCS >15% tree cover, tree height >3m",,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,stand density,,,Tree dominated ecosystems displaying the seral dynamics of ecosystem maturity and possesses tree crown cover of more than 20% of the area. Ranil Senanayake 100232.3435@compuserve.com,stand density,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,"i.e., clearcuts",http://www.epa.gov/nerlesd1/land-sci/pdf/trend.pdf,,"Tree-covered land where the tree cover density is greater than 10%. Note that cleared forest land will be mapped according to current cover (e.g., disturbed or transitional, shrubland/grassland","i.e., clearcuts",,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,Ranil Senanayake 1999,http://europe.mtnforum.org/rs/econfreports/MountainPeopleForestsAndTrees.pdf,,"Tree-dominated ecosystems displaying the seral dynamics of ecosystem maturity, covering 20% of the area",Ranil Senanayake,,1999
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,Nolte 2003,,,Trees cover more than 10% of land,Nolte,,2003
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,http://web.uccs.edu/geogenvs/ges100-online/Chapt11.doc,,Trees growing so closely their individual leaf canopies overlap. Shade precludes development of much undergrowth. Require considerable moisture except where inadequate moisture or short growing season. Forest are likely to become climax vegetation association in any area,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,generally forming 60-100% cover,http://www.greatplains.org/resource/biodiver/gpclass/IC2.HTM; http://www.cws-scf.ec.gc.ca/fff/GLOSS_E.HTM#Forest,,Trees with their crowns interlocking . Forested Estuarine areas vegetated by woody plants 6 m tall or taller. also,generally forming 60-100% cover,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,generally forming 60-100% cover,,,"Trees with their crowns overlapping (Grossman, et al. 1998",generally forming 60-100% cover,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,,,Tropics,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,IGBP,http://onlinelibrary.wiley.com/doi/10.1002/2014GL062777/full,,"Consistent with the United Nations Framework Convention on Climate Change [UNFCCC, 2002], United Nations Food and Agriculture Organization [UNFAO, 2002], and the International Geosphere-Biosphere Programme [Belward, 1996], we defined forest cover (as opposed to forest use [Belward, 1996; Hansen et al., 2010]) as parcels >1 ha in area and comprising pixels with >30% tree cover. Our definition corresponds with the definitions of IGBP classes for forest (>60% tree cover) and woody savannas (>30% tree cover) combined. Table 1 shows the differences in forest definition for each set of estimates compared in this study. It is notable that among the sources, only the FAO definition relies on dominant land use [Stibig et al., 2014]",IGBP,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,regardless of its quality,http://eyesontheforest.or.id/index.php?option=com_docman&task=doc_download&gid=5,,Unless otherwise indicated all references to “forest” in the report assume natural forest . Plantation forest areas are specified as such.(2005,regardless of its quality,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,,,Usually understood to mean land covered with woody growth of economic importance. Zon 1910,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,,,Vaste étendue de terrain peuplée d'arbres; ensemble de ces arbres. Le Petit Robert. Sandrine PETIT,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,1987,http://www.ids.ac.uk/eldis/forests/forpap.htm,,"Vegetation dominated by trees, without a grassy or weedy under-storey, and which has not been recently farmed. Hall",,,1987
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,6m,http://birds.cornell.edu/bfl/definitions.html,,Vegetation with an average canopy height greater than 20 ft,6m,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,,,,"Wood, Woods, area of land covered with trees. Babylon.com",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,the trees and other plants in a large densely wooded area,http://www.notredame.ac.jp/cgi-bin/wn?forest,,woods,the trees and other plants in a large densely wooded area,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land cover type,,10 ft,http://gis.esri.com/library/userconf/proc02/pap0811/p0811.htm,,"Woody vegetation > 3 meters in height. Canopy closure must be >35% (<35% = Category 3). Also included in this category are areas commonly referenced as ""swamp"" or forested wetland",10 ft,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,Agroforest,http://www.worldagroforestry.org/downloads/publications/PDFs/WP16263.PDF,,"Forest which is managed more or less intensively by small holders producing timber and non-timber products. (Zomer RJ, Trabucco A, Coe R and Place F. 2009. Trees on Farm: Analysis of Global Extent and Geographical Patterns of Agroforestry. ICRAF Working Paper no. 89. Nairobi, Kenya: World Agroforestry Centre. 63 p",Agroforest,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,American Legislative Exchange Council,https://www.alec.org/model-policy/the-right-to-practice-forestry-act/,,“Forest” means a parcel of land in which at least 80% of the parcel is producing or is capable of producing at least 20 cubic feet of merchantable timber per acre per year {or as defined by state statute},American Legislative Exchange Council,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,SAF 1958,http://home.comcast.net/~gyde/5-agency_paper-2.doc,,"Land bearing forest growth or land from which the forest has been removed but which shows evidence of past forestry occupancy and which is not now in other use. To qualify as forest, an area must: (1) be at least 100 feet wide; (2) be at least I acre in area; (3) have a sufficient number of trees to provide 10 percent crown coverage, be likely to remain in forest use. (SAF 1958",SAF,,1958
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,SAF 1971,http://home.comcast.net/~gyde/5-agency_paper-2.doc,,"Land carrying forest growth or, if totally lacking it, bearing evidence of former forest and not now in other use. Note: Such land formally qualifies as “forest” only if not less than I acre and not less than 100 feet wide, with trees providing not less than 10 percent crown cover, or, if less, if the lands likely to remain in forest use. (FORD-ROBERTSON 1971",SAF,,1971
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,SAF 1998,,,"An ecosystem characterized by a more or less dense or extensive tree cover, often consisting of stands varying in characteristics such as species composition, structure, age class, and associated processes, and commonly including meadows streams, fish and wildlife. Note - forests include specialized kinds such as industrial forests, non-industrial private forests, plantations, public forests, production forests, and urban forests, as well as parks and wilderness (Helms 1998",SAF,,1998
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,"Terre forestiere, terreno forestal",,,"Land under natural or cultivated stands of trees intended for forest use, including land cleared of trees but which will be reforested. Permanent meadows and pastures with scattered trees and shrubs do not constitute forest (Miani 1991 - Forestry Chronicle 70(6):669 1994","Terre forestiere, terreno forestal",,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,NRI,http://goatconnection.com/articles/publish/article_86.shtml; http://www.pfb.com/resources/ag-information/glossary-of-ag-terms-F.html,,"A classification of land use in the Natural Resources Inventory . It includes areas where trees cover at least 10% of the land and must be at least an acre in size. Forestland was found on 395 million acres, almost 30% of all private lands, in the 1992 NRI. and",NRI,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,or equivalent stocking level,,,"A land area with a minimum 10 % tree crown coverage , or formerly having such tree cover and that is being naturally or artificially regenerated or that is being afforested (Päivinen et al. 1994",or equivalent stocking level,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,1992,,,A natural land that has not been subjected to human activities regarding change of use. Harrison,,,1992
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://www.dictionary.com/cgi-bin/dict.pl?term=forestland,,A section of land covered with forest or set aside for the cultivation of forests,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://www.eresourcesystems.com/Help/Glossary/glossary.html,,All land which is capable of supporting a merchantable stand of timber and is not actively being used in a use which is incompatible with timber growing,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,a,http://www.mrsc.org/mc/rcw/RCW%20%2076%20%20TITLE/RCW%20%2076%20.%2009%20%20CHAPTER/RCW%20%2076%20.%2009%20.020.htm,,"All land which is capable of supporting a merchantable stand of timber and is not being actively used for a use which is incompatible with timber growing. Forest land does not include agricultural land that is or was enrolled in the conservation reserve enhancement program by contract if such agricultural land was historically used for agricultural purposes and the landowner intends to continue to use the land for agricultural purposes in the future. As it applies to the operation of the road maintenance and abandonment plan element of the forest practices rules on small forest landowners, the term ""forest land"" excludes: Residential home sites, which may include up to five acres; and (b) Cropfields, orchards, vineyards, pastures, feedlots, fish pens, and the land on which appurtenances necessary to the production, preparation, or sale of crops, fruit, dairy products, fish, and livestock exist",a,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,,,"All lands bearing vegetative associations dominated by trees of any size, exploited or not, capable of producing wood or other forest products, of exerting an influence on climate or on water regime, or providing shelter for livestock or wildlife. Includes lands which have been clearcut or burned but which will be reforested in the foreseeable future. Excludes orchards, shelterbelts, groups of trees along roads or city parks. Encyclopedia Britannia 1970",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,World Forest Inventories 1953,,,"All lands bearing vegetative associations dominated by trees of any size, exploited or not, capable of producing wood or of exerting an influence on the local climate or on the water regime. Included are: lands from which forests have been recently clear cut or burned but which will be reforested in the near future; public and private forests of any size; tree nurseries; forest roads; mangrove forests, forests of low growth and of dwarfed or stunted forms. Excluded are: brush lands, groups of trees outside the forest, trees along roads, etc., and on agricultural lands and parks. From: Alexander.Korotkov@unece.org. Date: Thu, 15 Oct 1998 17:09:40 +0200",World Forest Inventories,,1953
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://fwie.fw.vt.edu/rhgiles/appendices/glossf.htm,,"An area managed for producing timber and other products, or maintained under woody vegetation for such indirect benefits as protection of watersheds or recreation",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://www.genesisny.net/Commodity/Timber/Timberglos.html,,An area managed for the production of timber and other forest products or maintained as wood vegetation for such indirect benefits as protection of catchment areas or recreation,,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,water,,,"An area managed for the production of timber and other forest produce, or maintained under woody vegetation for such indirect benefits as protection of catchment areas or recreation. SAF 1971 (Helms 2002",water,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,both if plural,http://www.safc.org/resources/glossary.htm#F,,"An area managed for the production of timber and other forest products, or maintained under woody vegetation for indirect benefits as protection of a watershed, recreation, or wildlife habitat. When used as a proper noun, it refers to the Chattahoochee or Oconee National Forest",both if plural,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://nfdp.ccfm.org/silviterm/silvi_e/silvitermetohe.htm#F,,"An area managed for the production of timber and other forest produce, or maintained under woody vegetation for such indirect benefits as the protection of watersheds, the provision of recreation areas, or the preservation of natural habitat",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,"http://books.google.com/books?id=jhZsJc4z5RkC&pg=PA657&lpg=PA657&dq=hawaii+forestland&source=web&ots=YlCTj-qUZR&sig=PtkyXu4oaaWBg-3k45z2nub3mDs#PPA645,M1",,"An area which is for the most part set aside for the production of timber and other forest produce, or which is expected to exercise certain climatic effects, or to protect the locality against injurious influences. Encyclopedia Britannia 1910. p. 645",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,19th century,http://dspace.wbpublibnet.gov.in/dspace/bitstream/10689/10100/4/Chapter%201_1%20-%20125p.pdf,,"An area, which has been set aside principally for the production of wood, and which, at any rate for the greater part, is covered with trees",19th century,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://www.environmental-auditing.org/LinkClick.aspx?fileticket=fbx%2FbAIVeFU%3D&tabid=128&mid=568,,"An ecosystem characterized by more or less dense and extensive tree cover, often consisting of stands varying in characteristics such as species compositions, structure, age class and associated processes, and commonly including meadows, streams, fish, and wildlife. Thus forest could be defined as a set of land parcels that has or could have tree vegetation and is managed as a whole to achieve the objective of the owner",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,Asian Development Bank 1995,http://www.bicusa.org/bicusa/issues/misc_resources/585.php,,"An ecosystem with a minimum of 10 percent crown cover of trees and/or bamboos, generally associated with wild flora, fauna and natural soil conditions and not subject to agriculture",Asian Development Bank,,1995
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,https://www.forestasyst.org/glossary.html,,"Any land with at least 10 percent coved by trees of any size, or having had such tree cover and not currently developed or under cultivation",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,26,http://rredc.nrel.gov/biomass/forest/tim_glossary/t_glossary.html#F; http://www.rook.org/earl/bwca/lists/glossary/,,"Area managed for the production of timber and other forest products or maintained as wood vegetation for such indirect benefits as protection of catchment areas or recreation . and Ford-Robertson 1971: 107, 298. Also Boundary Waters Compendium Glossary",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://sedac.ciesin.columbia.edu/tg/guide_frame.jsp?rd=LU&ds=1,,"Areas with a? minimum of 10% crown cover of trees and/or bamboos, generally associated with wild flora and fauna and natural soil conditions, and are not subject to agricultural practices. Note that in some countries, some areas are statutorily defined as ?Forest Area? that contain no tree cover",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://www.grida.no/baltic/related/balans_landcover_classification_methodology_ver2.pdf,,"Forest is defined as >30% crown cover and the tree height shall be >7 m. Seedlings under forest are also included in this class. Areas occupied by forest and woodlands with a vegetation pattern composed of native or exotic coniferous trees, and which can be used for the production of timber or other forest products. The forest trees are under normal climatic conditions higher than 5 m with a canopy closure of 30% at least",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://www.gcrio.org/CONSEQUENCES/spring95/Land.html,,"Forest land is characterized by a predominance of tree cover and is further divided by the U.S. Census into timberland and non-timberland. By definition, the former must be capable of producing 20 cubic feet of industrial wood per acre per year and remain legally open to timber production",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://www.mrsc.org/mc/rcw/RCW%20%2084%20%20TITLE/RCW%20%2084%20.%2033%20%20CHAPTER/RCW%20%2084%20.%2033%20.035.htm,,"Forest land is synonymous with ""designated forest land"" and means any parcel of land that is twenty or more acres or multiple parcels of land that are contiguous and total twenty or more acres that is or are devoted primarily to growing and harvesting timber. Designated forest land means the land only and does not include a residential homesite. The term includes land used for incidental uses that are compatible with the growing and harvesting of timber but no more than ten percent of the land may be used for such incidental uses. It also includes the land on which appurtenances necessary for the production, preparation, or sale of the timber products exist in conjunction with land producing these products",,,
BASIC TERMS,FOREST/FOREST LAND,General definitions,As a land use type,,,http://www.ancienttrees.org/fulltext.php,,"Forestland means land, other than land owned by the federal government, that was, as of the effective date of this section, available for and capable of growing a crop of trees of any commercial species used to produce lumber and other forest products, including Christmas trees. Commercial species are those species so designated by the board",,,
